SampleID	Sex	ID	Population	Sub-population	Cohort
HGDP00023	male	NA	SAS	Brahui	Human_Genome_Diversity_Project
HGDP00315	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00479	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00167	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00341	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00575	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00179	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00346	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00669	female	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00181	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00144	male	NA	SAS	Makrani	Human_Genome_Diversity_Project
HGDP00671	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00092	male	NA	SAS	Balochi	Human_Genome_Diversity_Project
HGDP00149	male	NA	SAS	Makrani	Human_Genome_Diversity_Project
HGDP00676	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00100	male	NA	SAS	Hazara	Human_Genome_Diversity_Project
HGDP00151	female	NA	SAS	Makrani	Human_Genome_Diversity_Project
HGDP00708	female	NA	AMR	Colombian	Human_Genome_Diversity_Project
HGDP00078	male	NA	SAS	Balochi	Human_Genome_Diversity_Project
HGDP00163	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00710	male	NA	AMR	Colombian	Human_Genome_Diversity_Project
HGDP00080	male	NA	SAS	Balochi	Human_Genome_Diversity_Project
HGDP00175	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00715	male	NA	EAS	Cambodian	Human_Genome_Diversity_Project
HGDP00035	male	NA	SAS	Brahui	Human_Genome_Diversity_Project
HGDP00288	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00599	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00047	male	NA	SAS	Brahui	Human_Genome_Diversity_Project
HGDP00290	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00602	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00054	male	NA	SAS	Balochi	Human_Genome_Diversity_Project
HGDP00187	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00607	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00066	male	NA	SAS	Balochi	Human_Genome_Diversity_Project
HGDP00199	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00683	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00105	male	NA	SAS	Hazara	Human_Genome_Diversity_Project
HGDP00214	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00688	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00364	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00226	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00690	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00371	female	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00372	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00638	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00376	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00137	male	NA	SAS	Makrani	Human_Genome_Diversity_Project
HGDP00640	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00388	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00264	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00645	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00319	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00555	male	NA	OCN	Papuan,Papuan_Highlands	Simons_Genome_Diversity_Project,Human_Genome_Diversity_Project
HGDP00614	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00321	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00562	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00619	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00326	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00543	male	NA	OCN	Papuan,Papuan_Sepik	Simons_Genome_Diversity_Project,Human_Genome_Diversity_Project
HGDP00621	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00333	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00550	female	NA	OCN	Papuan,Papuan_Highlands	Simons_Genome_Diversity_Project,Human_Genome_Diversity_Project
HGDP00664	female	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00213	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00478	male	NA	AFR	Mbuti	Human_Genome_Diversity_Project
HGDP00626	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00218	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00512	male	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00703	male	NA	AMR	Colombian	Human_Genome_Diversity_Project
HGDP00237	female	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00529	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00828	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00458	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00531	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00854	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00460	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00536	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00859	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00465	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00454	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00739	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00201	male	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00459	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00741	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00206	female	NA	SAS	Sindhi	Human_Genome_Diversity_Project
HGDP00466	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00746	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00302	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00473	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00765	female	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00307	male	NA	SAS	Kalash	Human_Genome_Diversity_Project
HGDP00517	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00772	female	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00244	female	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00524	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00777	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00251	male	NA	SAS	Pathan	Human_Genome_Diversity_Project
HGDP00423	male	NA	SAS	Burusho	Human_Genome_Diversity_Project
HGDP00753	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00453	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00567	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00758	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00472	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00663	female	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00760	female	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00547	male	NA	OCN	Papuan,Papuan_Sepik	Simons_Genome_Diversity_Project,Human_Genome_Diversity_Project
HGDP00668	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00811	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00535	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00670	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00823	male	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00542	male	NA	OCN	Papuan_Sepik	Human_Genome_Diversity_Project
HGDP00601	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00727	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00491	male	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00606	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00734	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00511	male	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00613	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00784	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00516	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00644	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00791	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00523	female	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00649	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00804	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00528	male	NA	EUR	French	Human_Genome_Diversity_Project
HGDP00651	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00861	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00559	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00618	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00974	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00561	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00620	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00981	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00566	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00625	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00986	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00573	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00574	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00993	male	NA	AFR	Bantu_South_AFR	Human_Genome_Diversity_Project
HGDP00578	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00579	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP01009	male	NA	AMR	Karitiana	Human_Genome_Diversity_Project
HGDP00580	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00581	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00900	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00612	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00675	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00905	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP00600	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00682	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00912	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP00655	male	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00586	female	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00873	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00662	male	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00598	male	NA	WAS	Druze	Human_Genome_Diversity_Project
HGDP00880	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00667	female	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00632	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00885	female	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00674	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00637	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00917	female	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP00679	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00687	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00924	female	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00629	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00714	male	NA	EAS	Cambodian	Human_Genome_Diversity_Project
HGDP00929	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00631	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00719	female	NA	EAS	Cambodian	Human_Genome_Diversity_Project
HGDP00948	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00636	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00721	female	NA	EAS	Cambodian	Human_Genome_Diversity_Project
HGDP00950	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00698	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00726	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00955	female	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00701	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00788	male	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00962	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00686	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00790	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00967	female	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00693	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00795	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00892	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00643	female	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00733	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00897	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00648	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00738	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00931	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00732	male	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00740	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00943	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00624	male	NA	WAS	Bedouin	Human_Genome_Diversity_Project
HGDP00745	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP01174	male	NA	EUR	Bergamo_Italian	Human_Genome_Diversity_Project
HGDP00720	male	NA	EAS	Cambodian	Human_Genome_Diversity_Project
HGDP00752	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP01181	male	NA	EAS	Yi	Human_Genome_Diversity_Project
HGDP00744	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP00769	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP01186	male	NA	EAS	Yi	Human_Genome_Diversity_Project
HGDP00751	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00771	female	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP01092	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00756	female	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00776	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP01097	male	NA	EAS	Tujia	Human_Genome_Diversity_Project
HGDP00787	female	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP00803	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP01100	male	NA	EAS	Tujia	Human_Genome_Diversity_Project
HGDP00794	female	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00808	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP01155	male	NA	EUR	Bergamo_Italian	Human_Genome_Diversity_Project
HGDP00799	female	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00810	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP01162	male	NA	EUR	Tuscan	Human_Genome_Diversity_Project
HGDP00802	female	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00694	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP01167	male	NA	EUR	Tuscan	Human_Genome_Diversity_Project
HGDP00807	male	NA	EUR	Orcadian	Human_Genome_Diversity_Project
HGDP00699	female	NA	WAS	Palestinian	Human_Genome_Diversity_Project
HGDP01206	male	NA	EAS	Oroqen	Human_Genome_Diversity_Project
HGDP00814	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00757	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP01213	male	NA	EAS	Daur	Human_Genome_Diversity_Project
HGDP00864	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00764	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP01218	male	NA	EAS	Daur	Human_Genome_Diversity_Project
HGDP00869	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00815	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP01193	male	NA	EAS	Miao	Human_Genome_Diversity_Project
HGDP00871	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00822	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP01201	female	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP00876	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP00909	female	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01059	male	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP00883	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00911	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01066	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00888	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00916	female	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01220	male	NA	EAS	Daur	Human_Genome_Diversity_Project
HGDP00890	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP00884	female	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP01225	male	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP00763	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00889	female	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP01073	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP00768	male	NA	EAS	Japanese	Human_Genome_Diversity_Project
HGDP00891	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP01023	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00838	female	NA	AMR	Surui	Human_Genome_Diversity_Project
HGDP00954	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01249	male	NA	EAS	Xibo	Human_Genome_Diversity_Project
HGDP00845	male	NA	AMR	Surui	Human_Genome_Diversity_Project
HGDP00959	female	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01251	female	NA	EAS	Xibo	Human_Genome_Diversity_Project
HGDP00819	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00961	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01256	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00821	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00942	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP01263	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00782	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00947	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01275	female	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00939	female	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00865	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP01282	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00941	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP00872	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP01287	female	NA	EAS	Northern_Han	Human_Genome_Diversity_Project
HGDP00946	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00877	male	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP01232	female	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP01014	female	NA	AMR	Karitiana	Human_Genome_Diversity_Project
HGDP00896	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP01237	male	NA	EAS	Hezhen	Human_Genome_Diversity_Project
HGDP01019	male	NA	AMR	Karitiana	Human_Genome_Diversity_Project
HGDP00904	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01244	male	NA	EAS	Xibo	Human_Genome_Diversity_Project
HGDP01021	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP00966	female	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01294	male	NA	EAS	Northern_Han	Human_Genome_Diversity_Project
HGDP01033	male	NA	AFR	Bantu_South_AFR	Human_Genome_Diversity_Project
HGDP00973	male	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP01299	male	NA	SAS	Uygur	Human_Genome_Diversity_Project
HGDP01057	male	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP00930	male	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP01319	male	NA	EAS	Lahu	Human_Genome_Diversity_Project
HGDP00935	female	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP01321	male	NA	EAS	Lahu	Human_Genome_Diversity_Project
HGDP00984	male	NA	AFR	Mbuti	Human_Genome_Diversity_Project
HGDP00858	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP01326	male	NA	EAS	Lahu	Human_Genome_Diversity_Project
HGDP00953	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP00860	female	NA	AMR	Maya	Human_Genome_Diversity_Project
HGDP01352	male	NA	EAS	Tu	Human_Genome_Diversity_Project
HGDP00958	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01192	male	NA	EAS	Miao	Human_Genome_Diversity_Project
HGDP01357	male	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP00960	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01197	female	NA	EAS	Miao	Human_Genome_Diversity_Project
HGDP01268	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00965	male	NA	EAS	Yakut	Human_Genome_Diversity_Project
HGDP01200	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01270	female	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00972	female	NA	EAS	Han	Human_Genome_Diversity_Project
HGDP01205	male	NA	EAS	Oroqen	Human_Genome_Diversity_Project
HGDP01302	male	NA	SAS	Uygur	Human_Genome_Diversity_Project
HGDP00908	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01161	male	NA	EUR	Tuscan	Human_Genome_Diversity_Project
HGDP01340	male	NA	EAS	Naxi	Human_Genome_Diversity_Project
HGDP00910	female	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01166	male	NA	EUR	Tuscan	Human_Genome_Diversity_Project
HGDP00934	female	NA	AFR	Yoruba	Human_Genome_Diversity_Project
HGDP01173	male	NA	EUR	Bergamo_Italian	Human_Genome_Diversity_Project
HGDP00895	male	NA	EUR	Russian	Human_Genome_Diversity_Project
HGDP01058	female	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP01177	female	NA	EUR	Bergamo_Italian	Human_Genome_Diversity_Project
HGDP01060	male	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP01184	male	NA	EAS	Yi	Human_Genome_Diversity_Project
HGDP01065	female	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01189	male	NA	EAS	Miao	Human_Genome_Diversity_Project
HGDP01010	female	NA	AMR	Karitiana	Human_Genome_Diversity_Project
HGDP01259	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01027	female	NA	OCN	Bougainville	Human_Genome_Diversity_Project
HGDP01261	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP00985	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP00992	male	NA	AFR	San	Human_Genome_Diversity_Project
HGDP01071	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01072	female	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01403	male	NA	EUR	Adygei	Human_Genome_Diversity_Project
HGDP01090	male	NA	AFR	Biaka	Human_Genome_Diversity_Project
HGDP01077	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01408	male	NA	AFR	Bantu_Kenya	Human_Genome_Diversity_Project
HGDP01247	male	NA	EAS	Xibo	Human_Genome_Diversity_Project
HGDP01096	male	NA	EAS	Tujia	Human_Genome_Diversity_Project
HGDP01415	male	NA	AFR	Bantu_Kenya	Human_Genome_Diversity_Project
HGDP01254	female	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01104	male	NA	EAS	Tujia	Human_Genome_Diversity_Project
HGDP01196	female	NA	EAS	Miao	Human_Genome_Diversity_Project
HGDP01180	male	NA	EAS	Yi	Human_Genome_Diversity_Project
HGDP01204	male	NA	EAS	Oroqen	Human_Genome_Diversity_Project
HGDP01185	male	NA	EAS	Yi	Human_Genome_Diversity_Project
HGDP01209	female	NA	EAS	Oroqen	Human_Genome_Diversity_Project
HGDP01041	female	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP01216	male	NA	EAS	Daur	Human_Genome_Diversity_Project
HGDP01053	female	NA	AMR	Pima	Human_Genome_Diversity_Project
HGDP01369	female	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP01064	female	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01224	male	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP01371	male	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP01069	male	NA	EUR	Sardinian	Human_Genome_Diversity_Project
HGDP01229	male	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP01376	male	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP01230	male	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP01231	female	NA	EAS	Mongolian	Human_Genome_Diversity_Project
HGDP01383	male	NA	EUR	Adygei	Human_Genome_Diversity_Project
HGDP01103	male	NA	EAS	Tujia	Human_Genome_Diversity_Project
HGDP01236	male	NA	EAS	Hezhen	Human_Genome_Diversity_Project
HGDP01388	female	NA	EUR	Adygei	Human_Genome_Diversity_Project
HGDP01280	female	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01267	female	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01285	male	NA	AFR	Mandenka	Human_Genome_Diversity_Project
HGDP01279	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01292	male	NA	EAS	Northern_Han	Human_Genome_Diversity_Project
HGDP01212	female	NA	EAS	Oroqen	Human_Genome_Diversity_Project
HGDP01374	male	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP01217	male	NA	EAS	Daur	Human_Genome_Diversity_Project
HGDP01379	male	NA	EUR	Basque	Human_Genome_Diversity_Project
HGDP01255	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01381	female	NA	EUR	Adygei	Human_Genome_Diversity_Project
HGDP01262	male	NA	WAS	Mozabite	Human_Genome_Diversity_Project
HGDP01329	male	NA	EAS	She	Human_Genome_Diversity_Project
HGDP01298	male	NA	SAS	Uygur	Human_Genome_Diversity_Project
